CityPart,Area,Rooms,Bedrooms,Floor,MaxFloor,LastFloor,Status,Condition,Electrical Points,Heating,Natural Gas,Bed,Stove (Gas/Electric),Table,Refrigerator,Chairs,Oven,Air Conditioner,Washing Machine,Sofa,Dishwasher,PRICE (GEL)
Vakeshi,117.8,3,2,15,16,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,733617
Vakeshi,89,2,1,15,16,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,0,0,0,0,0,0,0,0,508098
Saburtaloze,71,2,1,3,10,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,461907
Nutsubidzis Ferdobze,107,4,3,5,5,1,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,521683
Vakeshi,71,2,1,9,21,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,516249
Vakeshi,60,2,1,8,22,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,448322
Dighomi 1-9-Shi,147,5,3,8,9,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,502664
Did Dighomshi,60,3,2,2,10,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,190197
Vakeshi,200,5,3,5,5,1,Newly Constructed,Newly Renovated,3,Central Heating,1,0,0,1,0,0,0,0,0,0,0,1834043
Saburtaloze,60,2,1,3,9,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,421151
Saburtaloze,120,4,3,10,16,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,665690
Vakeshi,115,4,3,2,5,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,703729
Vakeshi,57.5,2,1,12,44,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,728183
Vedzisshi,250,4,2,22,22,1,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,1086840
Saburtaloze,86,3,2,17,30,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,0,0,0,0,0,0,0,0,448322
Saburtaloze,100,3,2,18,19,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,611348
Saburtaloze,100,3,2,4,15,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,584177
Saburtaloze,84,3,2,18,24,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,638519
Vakeshi,119,3,2,15,22,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,950985
Saburtaloze,173,6,4,16,22,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,1168353
Vakeshi,305,7,5,7,14,0,Newly Constructed,White Frame,3,Central Heating,1,0,0,0,0,0,0,0,0,0,0,1589504
Vakeshi,150,4,3,7,14,0,Newly Constructed,White Frame,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,815130
